name,name_id,country_code,country_name,count,pct_in_country,origin
Issam,issam-sn,TN,Tunisia,1553,0.000594,
Issaoui,issaoui-sn,TN,Tunisia,4145,0.001585,
Isslam,isslam-sn,MA,Morocco,1609,0.000228,
Isyaku,isyaku-sn,NG,Nigeria,1215,0.000303,
Ita,ita-sn,MY,Malaysia,2280,0.000491,
Italia,italia-sn,IT,Italy,5256,0.000447,Italian
Italiano,italiano-sn,IT,Italy,3262,0.000278,
Itani,itani-sn,LB,Lebanon,1603,0.003348,
Itumeleng,itumeleng-sn,ZA,South Africa,2219,0.00049,
Iulian,iulian-sn,IT,Italy,1643,0.00014,
Iuliano,iuliano-sn,IT,Italy,4213,0.000359,
Ivan,ivan-sn,IT,Italy,2140,0.000182,
Ivan,ivan-sn,MX,Mexico,1164,0.00017,
Ivan,ivan-sn,RU,Russia,1572,0.000753,
Ivanov,ivanov-sn,BG,Bulgaria,7294,0.106214,Russian/Bulgarian
Ivanov,ivanov-sn,IT,Italy,1333,0.000113,Russian/Bulgarian
Ivanov,ivanov-sn,KZ,Kazakhstan,2707,0.018523,Russian/Bulgarian
Ivanov,ivanov-sn,RU,Russia,47525,0.022779,Russian/Bulgarian
Ivanova,ivanova-sn,BG,Bulgaria,6780,0.098729,Russian
Ivanova,ivanova-sn,IT,Italy,2487,0.000212,Russian
Ivanova,ivanova-sn,KZ,Kazakhstan,2761,0.018893,Russian
Ivanova,ivanova-sn,RU,Russia,47056,0.022554,Russian
Иванович,ivanovich-sn,RU,Russia,1523,0.00073,
Ивановна,ivanovna-sn,RU,Russia,1058,0.000507,
Iwan,iwan-sn,MY,Malaysia,1809,0.00039,
Iyabo,iyabo-sn,NG,Nigeria,1195,0.000298,
Iyad,iyad-sn,DZ,Algeria,3598,0.000904,
Iyad,iyad-sn,MA,Morocco,1124,0.000159,
Iyed,iyed-sn,TN,Tunisia,1116,0.000427,
Iyke,iyke-sn,NG,Nigeria,1735,0.000433,
Iza,iza-sn,MY,Malaysia,1257,0.000271,
Izaguirre,izaguirre-sn,US,United States,1025,0.000069,
Izci,izci-sn,TR,Turkey,1052,0.000092,
Izgi,izgi-sn,TR,Turkey,1106,0.000097,
Izham,izham-sn,MY,Malaysia,1279,0.000276,
Izquierdo,izquierdo-sn,CO,Colombia,2310,0.00024,Spanish
Izquierdo,izquierdo-sn,ES,Spain,3180,0.00168,Spanish
Izuchukwu,izuchukwu-sn,NG,Nigeria,1016,0.000254,
Izwan,izwan-sn,MY,Malaysia,3036,0.000654,
Izzah,izzah-sn,MY,Malaysia,1148,0.000247,
Izzat,izzat-sn,MY,Malaysia,2400,0.000517,
Izzati,izzati-sn,MY,Malaysia,3962,0.000854,
Izzo,izzo-sn,IT,Italy,11380,0.000969,Italian
Izzuddin,izzuddin-sn,MY,Malaysia,1741,0.000375,
J-Ji,j-ji-sn,MA,Morocco,1229,0.000174,
Ja,ja-sn,DE,Germany,1767,0.002309,
Ja,ja-sn,MA,Morocco,2020,0.000286,
